ordering,selection,placement,mean_gap_pct,mean_gap_c,mean_gap_bkw,mean_gap_nt,instances
perimeter,first-fit,TN,8.4185,8.683857142857143,4.9359,8.985714285714286,104
maxside,first-fit,TN,8.7870,7.744704761904762,5.746792307692307,9.664285714285715,104
width,first-fit,TN,8.7870,7.744704761904762,5.746792307692307,9.664285714285715,104
diagonal,first-fit,TN,9.0080,8.90872380952381,5.596146153846154,9.67142857142857,104
maxside,tre,TN,9.1303,9.312161904761904,4.0,10.028571428571428,104
width,tre,TN,9.1303,9.312161904761904,4.0,10.028571428571428,104
perimeter,fitness-number,LM,9.1573,10.80687619047619,3.762823076923077,9.664285714285715,104
perimeter,fitness-number,MaxD,9.1573,10.80687619047619,3.762823076923077,9.664285714285715,104
perimeter,fitness-number,MinD,9.1573,10.80687619047619,3.762823076923077,9.664285714285715,104
perimeter,fitness-number,RM,9.1573,10.80687619047619,3.762823076923077,9.664285714285715,104
perimeter,fitness-number,SN,9.1573,10.80687619047619,3.762823076923077,9.664285714285715,104
perimeter,fitness-number,TN,9.1573,10.80687619047619,3.762823076923077,9.664285714285715,104
perimeter,tre,LM,9.1930,9.537028571428571,5.330115384615385,9.807142857142857,104
perimeter,tre,TN,9.2189,11.157395238095239,3.342946153846154,9.728571428571428,104
area,first-fit,TN,9.3673,11.415352380952381,5.3060846153846155,9.507142857142858,104
maxside,tre,LM,9.4232,9.669314285714286,3.7275615384615386,10.407142857142857,104
width,tre,LM,9.4232,9.669314285714286,3.7275615384615386,10.407142857142857,104
maxside,fitness-number,LM,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
maxside,fitness-number,MaxD,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
maxside,fitness-number,MinD,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
maxside,fitness-number,RM,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
maxside,fitness-number,SN,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
maxside,fitness-number,TN,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
width,fitness-number,LM,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
width,fitness-number,MaxD,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
width,fitness-number,MinD,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
width,fitness-number,RM,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
width,fitness-number,SN,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
width,fitness-number,TN,9.4253,10.330680952380952,4.407053846153846,10.085714285714285,104
diagonal,fitness-number,LM,9.4545,11.157395238095239,4.804484615384616,9.807142857142857,104
diagonal,fitness-number,MaxD,9.4545,11.157395238095239,4.804484615384616,9.807142857142857,104
diagonal,fitness-number,MinD,9.4545,11.157395238095239,4.804484615384616,9.807142857142857,104
diagonal,fitness-number,RM,9.4545,11.157395238095239,4.804484615384616,9.807142857142857,104
diagonal,fitness-number,SN,9.4545,11.157395238095239,4.804484615384616,9.807142857142857,104
diagonal,fitness-number,TN,9.4545,11.157395238095239,4.804484615384616,9.807142857142857,104
perimeter,tre,RM,9.5436,9.609785714285714,4.594553846153846,10.442857142857143,104
maxside,first-fit,RM,9.5899,8.280423809523809,6.073723076923077,10.635714285714286,104
width,first-fit,RM,9.5899,8.280423809523809,6.073723076923077,10.635714285714286,104
maxside,tre,RM,9.6032,9.775138095238095,3.9198692307692307,10.607142857142858,104
width,tre,RM,9.6032,9.775138095238095,3.9198692307692307,10.607142857142858,104
perimeter,tre,MinD,9.6179,11.256604761904763,4.374992307692308,10.1,104
perimeter,first-fit,LM,9.6250,8.988095238095237,5.903853846153846,10.507142857142858,104
diagonal,first-fit,LM,9.7045,8.935180952380952,6.240392307692308,10.57857142857143,104
maxside,tre,MaxD,9.7192,9.775133333333333,4.116984615384616,10.742857142857142,104
width,tre,MaxD,9.7192,9.775133333333333,4.116984615384616,10.742857142857142,104
perimeter,first-fit,MinD,9.7258,9.675923809523809,6.2147461538461535,10.392857142857142,104
diagonal,tre,TN,9.7338,9.79497619047619,5.4326923076923075,10.514285714285714,104
maxside,first-fit,LM,9.7361,8.201061904761904,5.3718,11.007142857142858,104
width,first-fit,LM,9.7361,8.201061904761904,5.3718,11.007142857142858,104
diagonal,tre,MaxD,9.7622,9.193119047619048,5.323715384615385,10.757142857142858,104
maxside,tre,MinD,9.8140,9.92725238095238,4.783646153846154,10.714285714285714,104
width,tre,MinD,9.8140,9.92725238095238,4.783646153846154,10.714285714285714,104
perimeter,tre,MaxD,9.8519,10.383595238095237,5.157038461538462,10.564285714285715,104
area,widest-fit,MaxD,9.8568,9.06084761904762,9.525646153846154,10.157142857142857,104
diagonal,widest-fit,MaxD,9.8568,9.06084761904762,9.525646153846154,10.157142857142857,104
height,widest-fit,MaxD,9.8568,9.06084761904762,9.525646153846154,10.157142857142857,104
maxside,widest-fit,MaxD,9.8568,9.06084761904762,9.525646153846154,10.157142857142857,104
perimeter,widest-fit,MaxD,9.8568,9.06084761904762,9.525646153846154,10.157142857142857,104
width,widest-fit,MaxD,9.8568,9.06084761904762,9.525646153846154,10.157142857142857,104
diagonal,tre,LM,9.8634,10.271157142857142,5.084930769230769,10.628571428571428,104
maxside,first-fit,MinD,9.9702,8.551580952380952,5.870184615384615,11.157142857142857,104
width,first-fit,MinD,9.9702,8.551580952380952,5.870184615384615,11.157142857142857,104
diagonal,first-fit,MaxD,10.0240,9.345238095238095,6.480769230769231,10.885714285714286,104
area,widest-fit,TN,10.0424,9.391533333333333,9.822115384615385,10.278571428571428,104
diagonal,widest-fit,TN,10.0424,9.391533333333333,9.822115384615385,10.278571428571428,104
height,widest-fit,TN,10.0424,9.391533333333333,9.822115384615385,10.278571428571428,104
maxside,widest-fit,TN,10.0424,9.391533333333333,9.822115384615385,10.278571428571428,104
perimeter,widest-fit,TN,10.0424,9.391533333333333,9.822115384615385,10.278571428571428,104
width,widest-fit,TN,10.0424,9.391533333333333,9.822115384615385,10.278571428571428,104
perimeter,first-fit,MaxD,10.0554,9.212966666666667,6.176276923076923,11.028571428571428,104
diagonal,tre,RM,10.1041,10.93915238095238,4.469561538461538,10.9,104
maxside,first-fit,MaxD,10.1229,7.513228571428571,6.1923076923076925,11.635714285714286,104
width,first-fit,MaxD,10.1229,7.513228571428571,6.1923076923076925,11.635714285714286,104
perimeter,nre,MinD,10.1340,11.230166666666667,4.6618615384615385,10.821428571428571,104
perimeter,first-fit,RM,10.1700,10.165347619047619,6.592953846153846,10.835714285714285,104
