instance,group,n_items,arm,ordering,selection,placement,tower_removal,vertical_niche,engine,height,lower_bound,gap_pct,raises,buried_pct,top_waste_pct,time_ms
PVA10001,a,100,grid,width,tre,RM,F,F,measure,1106,992,11.4919,83,6.5650,4.9963,10.7
PVA10001,a,100,grid,width,tre,RM,F,T,solve,1087,992,9.5766,,,,9.2
PVA10001,a,100,grid,width,tre,RM,T,F,measure,1106,992,11.4919,83,6.5650,4.9963,10.4
PVA10001,a,100,grid,width,tre,RM,T,T,solve,1087,992,9.5766,,,,9.8
PVA10001,a,100,grid,width,tre,MinD,F,F,measure,1082,992,9.0726,81,6.4825,2.6595,14.1
PVA10001,a,100,grid,width,tre,MinD,F,T,solve,1082,992,9.0726,,,,8.9
PVA10001,a,100,grid,width,tre,MinD,T,F,measure,1082,992,9.0726,81,6.4825,2.6595,10.3
PVA10001,a,100,grid,width,tre,MinD,T,T,solve,1082,992,9.0726,,,,7.7
PVA10001,a,100,grid,width,tre,MaxD,F,F,measure,1093,992,10.1815,82,7.4832,2.7676,11.3
PVA10001,a,100,grid,width,tre,MaxD,F,T,solve,1105,992,11.3911,,,,9.1
PVA10001,a,100,grid,width,tre,MaxD,T,F,measure,1093,992,10.1815,82,7.4832,2.7676,12.1
PVA10001,a,100,grid,width,tre,MaxD,T,T,solve,1105,992,11.3911,,,,11.4
PVA10001,a,100,grid,width,nre,LM,F,F,measure,1071,992,7.9637,43,5.0303,3.0027,10.8
PVA10001,a,100,grid,width,nre,LM,F,T,solve,1059,992,6.7540,,,,8.4
PVA10001,a,100,grid,width,nre,LM,T,F,measure,1071,992,7.9637,43,5.0303,3.0027,10.9
PVA10001,a,100,grid,width,nre,LM,T,T,solve,1059,992,6.7540,,,,8.0
PVA10001,a,100,grid,width,nre,RM,F,F,measure,1068,992,7.6613,35,6.2210,1.5097,9.5
PVA10001,a,100,grid,width,nre,RM,F,T,solve,1086,992,9.4758,,,,8.9
PVA10001,a,100,grid,width,nre,RM,T,F,measure,1068,992,7.6613,35,6.2210,1.5097,10.3
PVA10001,a,100,grid,width,nre,RM,T,T,solve,1086,992,9.4758,,,,8.2
PVA10001,a,100,grid,width,tre,TN,F,F,measure,1072,992,8.0645,82,5.7094,2.4245,11.6
PVA10001,a,100,grid,width,tre,TN,F,T,solve,1080,992,8.8710,,,,14.5
PVA10001,a,100,grid,width,tre,TN,T,F,measure,1072,992,8.0645,82,5.7094,2.4245,10.8
PVA10001,a,100,grid,width,tre,TN,T,T,solve,1080,992,8.8710,,,,7.5
PVA10001,a,100,grid,width,tre,SN,F,F,measure,1116,992,12.5000,80,9.1839,3.3855,10.1
PVA10001,a,100,grid,width,tre,SN,F,T,solve,1112,992,12.0968,,,,7.9
PVA10001,a,100,grid,width,tre,SN,T,F,measure,1116,992,12.5000,80,9.1839,3.3855,13.2
PVA10001,a,100,grid,width,tre,SN,T,T,solve,1112,992,12.0968,,,,11.9
PVA10001,a,100,grid,width,nre,TN,F,F,measure,1078,992,8.6694,43,3.9511,4.7876,10.7
PVA10001,a,100,grid,width,nre,TN,F,T,solve,1065,992,7.3589,,,,6.6
PVA10001,a,100,grid,width,nre,TN,T,F,measure,1078,992,8.6694,43,3.9511,4.7876,16.0
PVA10001,a,100,grid,width,nre,TN,T,T,solve,1065,992,7.3589,,,,8.2
PVA10001,a,100,grid,width,nre,SN,F,F,measure,1139,992,14.8185,39,8.6462,6.2417,11.4
PVA10001,a,100,grid,width,nre,SN,F,T,solve,1113,992,12.1976,,,,9.7
PVA10001,a,100,grid,width,nre,SN,T,F,measure,1139,992,14.8185,39,8.6462,6.2417,11.2
PVA10001,a,100,grid,width,nre,SN,T,T,solve,1113,992,12.1976,,,,10.7
PVA10001,a,100,grid,width,nre,MinD,F,F,measure,1106,992,11.4919,37,5.7367,5.8246,11.6
PVA10001,a,100,grid,width,nre,MinD,F,T,solve,1070,992,7.8629,,,,9.2
PVA10001,a,100,grid,width,nre,MinD,T,F,measure,1106,992,11.4919,37,5.7367,5.8246,12.5
PVA10001,a,100,grid,width,nre,MinD,T,T,solve,1070,992,7.8629,,,,8.9
PVA10001,a,100,grid,width,nre,MaxD,F,F,measure,1138,992,14.7177,51,9.9236,4.8635,12.6
PVA10001,a,100,grid,width,nre,MaxD,F,T,solve,1099,992,10.7863,,,,9.0
PVA10001,a,100,grid,width,nre,MaxD,T,F,measure,1138,992,14.7177,51,9.9236,4.8635,15.4
PVA10001,a,100,grid,width,nre,MaxD,T,T,solve,1099,992,10.7863,,,,10.7
PVA10001,a,100,grid,width,fitness-number,MinD,F,F,measure,1054,992,6.2500,36,3.3076,3.0118,11.9
PVA10001,a,100,grid,width,fitness-number,MinD,F,T,solve,1054,992,6.2500,,,,9.7
PVA10001,a,100,grid,width,fitness-number,MinD,T,F,measure,1054,992,6.2500,36,3.3076,3.0118,12.6
PVA10001,a,100,grid,width,fitness-number,MinD,T,T,solve,1054,992,6.2500,,,,8.7
PVA10001,a,100,grid,width,fitness-number,MaxD,F,F,measure,1054,992,6.2500,36,3.3076,3.0118,12.7
PVA10001,a,100,grid,width,fitness-number,MaxD,F,T,solve,1054,992,6.2500,,,,9.0
PVA10001,a,100,grid,width,fitness-number,MaxD,T,F,measure,1054,992,6.2500,36,3.3076,3.0118,13.7
PVA10001,a,100,grid,width,fitness-number,MaxD,T,T,solve,1054,992,6.2500,,,,7.1
PVA10001,a,100,grid,width,fitness-number,TN,F,F,measure,1054,992,6.2500,36,3.3076,3.0118,13.7
PVA10001,a,100,grid,width,fitness-number,TN,F,T,solve,1054,992,6.2500,,,,6.9
PVA10001,a,100,grid,width,fitness-number,TN,T,F,measure,1054,992,6.2500,36,3.3076,3.0118,14.3
PVA10001,a,100,grid,width,fitness-number,TN,T,T,solve,1054,992,6.2500,,,,7.0
PVA10001,a,100,grid,width,fitness-number,SN,F,F,measure,1054,992,6.2500,36,3.3076,3.0118,15.7
PVA10001,a,100,grid,width,fitness-number,SN,F,T,solve,1054,992,6.2500,,,,7.6
PVA10001,a,100,grid,width,fitness-number,SN,T,F,measure,1054,992,6.2500,36,3.3076,3.0118,13.3
PVA10001,a,100,grid,width,fitness-number,SN,T,T,solve,1054,992,6.2500,,,,7.9
PVA10001,a,100,grid,width,fitness-number,LM,F,F,measure,1054,992,6.2500,36,3.3076,3.0118,14.5
PVA10001,a,100,grid,width,fitness-number,LM,F,T,solve,1054,992,6.2500,,,,10.1
PVA10001,a,100,grid,width,fitness-number,LM,T,F,measure,1054,992,6.2500,36,3.3076,3.0118,14.8
PVA10001,a,100,grid,width,fitness-number,LM,T,T,solve,1054,992,6.2500,,,,7.8
PVA10001,a,100,grid,width,fitness-number,RM,F,F,measure,1054,992,6.2500,36,3.3076,3.0118,12.8
PVA10001,a,100,grid,width,fitness-number,RM,F,T,solve,1054,992,6.2500,,,,9.6
PVA10001,a,100,grid,width,fitness-number,RM,T,F,measure,1054,992,6.2500,36,3.3076,3.0118,12.3
PVA10001,a,100,grid,width,fitness-number,RM,T,T,solve,1054,992,6.2500,,,,8.9
PVA10001,a,100,grid,width,max-area,LM,F,F,measure,1097,992,10.5847,75,7.4124,3.2416,16.0
PVA10001,a,100,grid,width,max-area,LM,F,T,solve,1088,992,9.6774,,,,8.3
PVA10001,a,100,grid,width,max-area,LM,T,F,measure,1097,992,10.5847,75,7.4124,3.2416,12.7
PVA10001,a,100,grid,width,max-area,LM,T,T,solve,1088,992,9.6774,,,,9.8
PVA10001,a,100,grid,width,max-area,RM,F,F,measure,1117,992,12.6008,81,8.9361,3.7341,14.7
PVA10001,a,100,grid,width,max-area,RM,F,T,solve,1080,992,8.8710,,,,9.8
PVA10001,a,100,grid,width,max-area,RM,T,F,measure,1117,992,12.6008,81,8.9361,3.7341,16.0
PVA10001,a,100,grid,width,max-area,RM,T,T,solve,1080,992,8.8710,,,,8.9
PVA10001,a,100,grid,width,max-area,TN,F,F,measure,1062,992,7.0565,79,4.7879,2.3379,14.9
PVA10001,a,100,grid,width,max-area,TN,F,T,solve,1081,992,8.9718,,,,10.9
PVA10001,a,100,grid,width,max-area,TN,T,F,measure,1062,992,7.0565,79,4.7879,2.3379,15.8
PVA10001,a,100,grid,width,max-area,TN,T,T,solve,1081,992,8.9718,,,,8.3
PVA10001,a,100,grid,width,max-area,SN,F,F,measure,1109,992,11.7944,81,8.0102,3.8535,15.4
PVA10001,a,100,grid,width,max-area,SN,F,T,solve,1121,992,13.0040,,,,8.3
PVA10001,a,100,grid,width,max-area,SN,T,F,measure,1109,992,11.7944,81,8.0102,3.8535,16.5
PVA10001,a,100,grid,width,max-area,SN,T,T,solve,1121,992,13.0040,,,,10.0
PVA10001,a,100,grid,width,max-area,MinD,F,F,measure,1071,992,7.9637,78,5.6573,2.3758,14.3
PVA10001,a,100,grid,width,max-area,MinD,F,T,solve,1088,992,9.6774,,,,9.6
PVA10001,a,100,grid,width,max-area,MinD,T,F,measure,1071,992,7.9637,78,5.6573,2.3758,15.1
PVA10001,a,100,grid,width,max-area,MinD,T,T,solve,1088,992,9.6774,,,,9.2
PVA10001,a,100,grid,width,max-area,MaxD,F,F,measure,1120,992,12.9032,83,9.0957,3.8769,17.8
PVA10001,a,100,grid,width,max-area,MaxD,F,T,solve,1122,992,13.1048,,,,11.6
PVA10001,a,100,grid,width,max-area,MaxD,T,F,measure,1120,992,12.9032,83,9.0957,3.8769,17.0
PVA10001,a,100,grid,width,max-area,MaxD,T,T,solve,1122,992,13.1048,,,,10.7
PVA10001,a,100,pmix,perimeter,tre,RM,T,F,solve,1093,992,10.1815,,,,5.1
PVA10001,a,100,pmix,perimeter,first-fit,TN,T,F,solve,1100,992,10.8871,,,,5.6
PVA10001,a,100,pmix,area,nre,MinD,T,T,solve,1056,992,6.4516,,,,9.1
PVA10001,a,100,pmix,perimeter,nre,LM,T,F,solve,1072,992,8.0645,,,,8.8
PVA10001,a,100,ponovn,perimeter,fitness-number,SN,T,F,solve,1059,992,6.7540,,,,6.5
PVA10001,a,100,ponovn,area,widest-fit,MaxD,T,F,solve,1095,992,10.3831,,,,5.7
PVA10001,a,100,ponovn,area,fitness-number,LM,T,F,solve,1047,992,5.5444,,,,8.8
PVA10001,a,100,ponovn,perimeter,first-fit,TN,T,F,solve,1100,992,10.8871,,,,5.6
PVA10001,a,100,ponovn,perimeter,tre,MinD,T,F,solve,1133,992,14.2137,,,,6.3
PVA10001,a,100,ponovn,perimeter,first-fit,LM,T,F,solve,1119,992,12.8024,,,,5.3
PVA10001,a,100,ponovn,diagonal,tre,TN,T,F,solve,1092,992,10.0806,,,,6.3
PVA10001,a,100,ponovn,perimeter,nre,TN,T,F,solve,1057,992,6.5524,,,,7.4
PVA10001,a,100,ponovn,perimeter,nre,LM,T,F,solve,1072,992,8.0645,,,,5.9
PVA10001,a,100,ponovn,maxside,fitness-number,LM,T,F,solve,1054,992,6.2500,,,,8.7
PVA10001,a,100,ponovn,height,fitness-number,LM,F,F,solve,1086,992,9.4758,,,,8.1
